DOW30;SP500;BOVESPA67;FTSE100;IBEX35;ATX20;NIKKEI225;SH1476;CH50;TAIWAN896;SET582;KARACHI100;COLCAP25
;0.218218;;;;;0.191781;0.143749;;0.116473;0.135744;;
;0.212559;;;;;0.190139;0.143564;;0.115651;0.135322;;
;0.211745;;;;;0.189318;0.141821;;0.114459;0.134717;;
;0.209847;;;;;0.183613;0.141109;;0.113621;0.132196;;
;0.209646;;;;;0.182751;0.140987;;0.113088;0.131225;;
;0.20493;;;;;0.182422;0.140963;;0.111982;0.130983;;
;0.204689;;;;;0.182258;0.138728;;0.110665;0.130402;;
;0.20243;;;;;0.177365;0.135252;;0.109565;0.130246;;
;0.200596;;;;;0.176347;0.134623;;0.108401;0.130035;;
;0.198467;;;;;0.17372;0.133272;;0.106696;0.129185;;
;0.196468;;;;;0.172242;0.132875;;0.10658;0.128609;;
;0.196081;;;;;0.171667;0.131743;;0.106199;0.126624;;
;0.195531;;;;;0.170436;0.130751;;0.105452;0.12496;;
;0.193617;;;;;0.168383;0.130638;;0.104971;0.124841;;
;0.192856;;;;;0.16753;0.129966;;0.103771;0.124192;;
;0.192754;;;;;0.166495;0.129808;;0.103001;0.122403;;
;0.192671;;;;;0.16551;0.129688;;0.102853;0.1223;;
;0.191391;;;;;0.152703;0.128339;;0.102378;0.121965;;
;0.190855;;;;;0.150683;0.128002;;0.102306;0.118763;;
;0.190174;;;;;0.149665;0.125647;;0.102135;0.117856;;
;0.187685;;;;;0.147448;0.124849;;0.100706;0.117776;;
;0.187241;;;;;0.143261;0.123737;;0.100342;0.116674;;
;0.186473;;;;;0.142687;0.122895;;0.098661;0.115429;;
;0.185573;;;;;0.141702;0.122814;;0.098383;0.11504;;
;0.184501;;;;;0.136365;0.122782;;0.096676;0.113735;;
;0.184194;;;;;0.136119;0.12141;;0.0957;0.111608;;
;0.18404;;;;;0.135561;0.118468;;0.093999;0.107368;;
;0.181902;;;;;0.134846;0.118344;;0.092659;0.106944;;
;0.176943;;;;;0.1307;0.117522;;0.09242;0.106853;;
;0.176144;;;;;0.129387;0.11562;;0.092102;0.10602;;
;0.174386;;;;;0.127909;0.115254;;0.091376;0.10363;;
;0.17333;;;;;0.127745;0.115088;;0.090215;0.103605;;
;0.172888;;;;;0.127252;0.114936;;0.089985;0.103285;;
;0.165821;;;;;0.125939;0.114425;;0.08891;0.102997;;
;0.164421;;;;;0.125873;0.113971;;0.088735;0.102746;;
;0.161945;;;;;0.12561;0.112515;;0.087984;0.102517;;
;0.16177;;;;;0.125446;0.111535;;0.087869;0.102096;;
;0.160163;;;;;0.124461;0.111061;;0.08786;0.101749;;
;0.158438;;;;;0.122819;0.108106;;0.087849;0.101412;;
;0.154033;;;;;0.119535;0.107309;;0.087567;0.100896;;
;0.150929;;;;;0.115266;0.10677;;0.087535;0.09704;;
;0.150399;;;;;0.112639;0.106177;;0.087086;0.092475;;
;0.150355;;;;;0.111654;0.106163;;0.086721;0.088684;;
;0.150142;;;;;0.111407;0.105588;;0.085383;0.088145;;
;0.149689;;;;;0.111112;0.104623;;0.085322;0.086085;;
;0.149491;;;;;0.108534;0.104548;;0.084955;0.085761;;
;0.149111;;;;;0.107713;0.104488;;0.084176;0.084605;;
;0.149021;;;;;0.107352;0.103576;;0.082053;0.084575;;
;0.148992;;;;;0.105086;0.102585;;0.08193;0.084258;;
;0.148015;;;;;0.103772;0.102476;;0.081779;0.083431;;
;0.147971;;;;;0.102459;0.102043;;0.081743;0.083351;;
;0.147746;;;;;0.098567;0.101881;;0.08119;0.081936;;
;0.147693;;;;;0.098518;0.099695;;0.080874;0.079107;;
;0.147546;;;;;0.096876;0.099119;;0.080712;0.077788;;
;0.146451;;;;;0.095398;0.098189;;0.079299;0.076962;;
;0.146012;;;;;0.092935;0.097715;;0.078959;0.074106;;
;0.145494;;;;;0.09195;0.097454;;0.07811;0.074033;;
;0.14525;;;;;0.087894;0.097448;;0.078007;0.072233;;
